Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Netherlands,Status
halo-engagement-ring-round-diamond-with-side-diamonds,,,,,,,,,Yellow Gold,,Lab-Grown 0.50ct DVS2,,,halo-engagement-ring-round-diamond-with-side-diamonds-yellow-gold-050ct,0,shopify,deny,manual,790,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-round-diamond-with-side-diamonds,,,,,,,,,Yellow Gold,,Lab-Grown 1.00ct DVS2,,,halo-engagement-ring-round-diamond-with-side-diamonds-yellow-gold-100ct,0,shopify,deny,manual,990,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-round-diamond-with-side-diamonds,,,,,,,,,Yellow Gold,,Lab-Grown 1.50ct DVS2,,,halo-engagement-ring-round-diamond-with-side-diamonds-yellow-gold-150ct,0,shopify,deny,manual,1250,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-round-diamond-with-side-diamonds,,,,,,,,,Yellow Gold,,Natural Diamond,,,halo-engagement-ring-round-diamond-with-side-diamonds-yellow-gold-natural,0,shopify,deny,manual,3000,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-round-diamond-with-side-diamonds,,,,,,,,,Rose Gold,,Lab-Grown 0.50ct DVS2,,,halo-engagement-ring-round-diamond-with-side-diamonds-rose-gold-050ct,0,shopify,deny,manual,790,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-round-diamond-with-side-diamonds,,,,,,,,,Rose Gold,,Lab-Grown 1.00ct DVS2,,,halo-engagement-ring-round-diamond-with-side-diamonds-rose-gold-100ct,0,shopify,deny,manual,990,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-round-diamond-with-side-diamonds,,,,,,,,,Rose Gold,,Lab-Grown 1.50ct DVS2,,,halo-engagement-ring-round-diamond-with-side-diamonds-rose-gold-150ct,0,shopify,deny,manual,1250,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-round-diamond-with-side-diamonds,,,,,,,,,Rose Gold,,Natural Diamond,,,halo-engagement-ring-round-diamond-with-side-diamonds-rose-gold-natural,0,shopify,deny,manual,3000,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-princess-diamond-no-side-diamonds,Halo Engagement Ring – Princess Diamond – No Side Diamonds,"Modern halo design with a princess-cut center stone, surrounded by sparkling accents.",Diamonds by Caroline Scheltjens,Engagement Rings,Engagement Rings,"Engagement Rings, Halo, Princess, No Side Diamonds, Lab-Grown Diamond, Natural Diamond",TRUE,Metal Color,White Gold,Diamond Type,Lab-Grown 0.50ct DVS2,,,halo-engagement-ring-princess-diamond-no-side-diamonds-white-gold-050ct,0,shopify,deny,manual,790,,TRUE,TRUE,,,,,FALSE,Halo Engagement Ring – Princess Diamond – No Side Diamonds | Diamonds by Caroline Scheltjens,"Modern halo design with a princess-cut center stone, surrounded by sparkling accents.",,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-princess-diamond-no-side-diamonds,,,,,,,,,White Gold,,Lab-Grown 1.00ct DVS2,,,halo-engagement-ring-princess-diamond-no-side-diamonds-white-gold-100ct,0,shopify,deny,manual,990,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-princess-diamond-no-side-diamonds,,,,,,,,,White Gold,,Lab-Grown 1.50ct DVS2,,,halo-engagement-ring-princess-diamond-no-side-diamonds-white-gold-150ct,0,shopify,deny,manual,1250,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-princess-diamond-no-side-diamonds,,,,,,,,,White Gold,,Natural Diamond,,,halo-engagement-ring-princess-diamond-no-side-diamonds-white-gold-natural,0,shopify,deny,manual,3000,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-princess-diamond-no-side-diamonds,,,,,,,,,Yellow Gold,,Lab-Grown 0.50ct DVS2,,,halo-engagement-ring-princess-diamond-no-side-diamonds-yellow-gold-050ct,0,shopify,deny,manual,790,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-princess-diamond-no-side-diamonds,,,,,,,,,Yellow Gold,,Lab-Grown 1.00ct DVS2,,,halo-engagement-ring-princess-diamond-no-side-diamonds-yellow-gold-100ct,0,shopify,deny,manual,990,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-princess-diamond-no-side-diamonds,,,,,,,,,Yellow Gold,,Lab-Grown 1.50ct DVS2,,,halo-engagement-ring-princess-diamond-no-side-diamonds-yellow-gold-150ct,0,shopify,deny,manual,1250,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-princess-diamond-no-side-diamonds,,,,,,,,,Yellow Gold,,Natural Diamond,,,halo-engagement-ring-princess-diamond-no-side-diamonds-yellow-gold-natural,0,shopify,deny,manual,3000,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-princess-diamond-no-side-diamonds,,,,,,,,,Rose Gold,,Lab-Grown 0.50ct DVS2,,,halo-engagement-ring-princess-diamond-no-side-diamonds-rose-gold-050ct,0,shopify,deny,manual,790,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-princess-diamond-no-side-diamonds,,,,,,,,,Rose Gold,,Lab-Grown 1.00ct DVS2,,,halo-engagement-ring-princess-diamond-no-side-diamonds-rose-gold-100ct,0,shopify,deny,manual,990,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-princess-diamond-no-side-diamonds,,,,,,,,,Rose Gold,,Lab-Grown 1.50ct DVS2,,,halo-engagement-ring-princess-diamond-no-side-diamonds-rose-gold-150ct,0,shopify,deny,manual,1250,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-princess-diamond-no-side-diamonds,,,,,,,,,Rose Gold,,Natural Diamond,,,halo-engagement-ring-princess-diamond-no-side-diamonds-rose-gold-natural,0,shopify,deny,manual,3000,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-princess-diamond-with-side-diamonds,Halo Engagement Ring – Princess Diamond – With Side Diamonds,"Luxurious halo design with a princess-cut center stone, halo accents, and side diamonds.",Diamonds by Caroline Scheltjens,Engagement Rings,Engagement Rings,"Engagement Rings, Halo, Princess, With Side Diamonds, Lab-Grown Diamond, Natural Diamond",TRUE,Metal Color,White Gold,Diamond Type,Lab-Grown 0.50ct DVS2,,,halo-engagement-ring-princess-diamond-with-side-diamonds-white-gold-050ct,0,shopify,deny,manual,790,,TRUE,TRUE,,,,,FALSE,Halo Engagement Ring – Princess Diamond – With Side Diamonds | Diamonds by Caroline Scheltjens,"Luxurious halo design with a princess-cut center stone, halo accents, and side diamonds.",,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-princess-diamond-with-side-diamonds,,,,,,,,,White Gold,,Lab-Grown 1.00ct DVS2,,,halo-engagement-ring-princess-diamond-with-side-diamonds-white-gold-100ct,0,shopify,deny,manual,990,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-princess-diamond-with-side-diamonds,,,,,,,,,White Gold,,Lab-Grown 1.50ct DVS2,,,halo-engagement-ring-princess-diamond-with-side-diamonds-white-gold-150ct,0,shopify,deny,manual,1250,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-princess-diamond-with-side-diamonds,,,,,,,,,White Gold,,Natural Diamond,,,halo-engagement-ring-princess-diamond-with-side-diamonds-white-gold-natural,0,shopify,deny,manual,3000,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-princess-diamond-with-side-diamonds,,,,,,,,,Yellow Gold,,Lab-Grown 0.50ct DVS2,,,halo-engagement-ring-princess-diamond-with-side-diamonds-yellow-gold-050ct,0,shopify,deny,manual,790,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
